puuid,user,tag,hs_percent,body_percent,leg_percent,s_damage_per_round,s_kd_ratio,s_hs_percent,s_win_percent,s_kast_percent,s_dd_round,s_acs,s_kad_ratio,s_kills_per_round,deaths_per_game,kills_per_game,assists_per_game,first_bloods_per_game,flawless_rounds_per_game,aces_per_game,smurf_label
2d46422b-58fe-56ba-99c7-2bcff5e1873d,hyunemoroll,soop,29.5,66.6,3.9,133.7,1.08,28.3,49.4,72.8,-1.0,205.0,1.5,0.7,13.8814,14.95585,5.91565,1.451125,0.72865,0.030875,normal player
424d6cad-cff2-5d4e-96e5-6ba2a60e150d,Ｓｕｍ ｔｉｎｇ ｗｏｎｇ,2143,16.7,77.3,6.0,169.5,1.44,15.3,60.0,77.5,44.0,264.1,1.87,0.9,13.433333333333334,19.366666666666667,5.816666666666666,2.2,0.8166666666666667,0.0666666666666666,most likely smurf
5d87c48f-4fc2-54eb-b557-4f0f7882042c,zerokilIs,0,35.5,61.8,2.7,153.7,1.17,34.8,46.4,72.2,13.0,230.6,1.41,0.8,14.895589743589742,17.35835897435897,3.628717948717948,2.379487179487179,0.7138461538461538,0.0475897435897435,suspicious
0218d2bb-2a52-539b-89fc-5f0b4da8667b,Justmk,1000,29.1,65.0,5.9,119.3,0.77,29.1,33.3,64.5,-21.0,175.6,1.04,0.6,16.150499999999997,12.4875,4.329,0.8324999999999999,0.3329999999999999,0.0,normal player
d1921620-d5c6-5fa9-9cb6-d551f9f7e274,Wrecktov,NA1,26.1,68.0,5.9,110.2,0.84,26.1,68.4,75.3,-20.0,167.1,1.39,0.6,14.574461538461538,12.259384615384617,7.944923076923077,1.368,0.8944615384615384,0.0,normal player
33d55be6-beb9-5609-8167-b0a0c740f4bb,toobiedoobie,toob,32.6,61.8,5.6,149.2,1.08,36.7,54.2,69.7,9.0,228.9,1.32,0.8,14.4476875,15.6333125,3.5060625,2.91325,0.7791250000000001,0.0,suspicious
24c2cacc-e2bb-512a-b40f-48b612930647,Jeremy Lin,AZN,22.9,69.5,7.5,147.3,0.89,24.1,45.4,67.5,-12.0,226.5,1.15,0.7,17.483632653061225,15.51938775510204,4.669714285714286,3.641265306122449,0.6207755102040816,0.0277959183673469,normal player
a79b1016-9c37-57aa-a4b3-90a191680d10,PotatoOnTheFloor,6666,19.0,76.1,4.9,145.4,1.03,23.8,50.9,72.8,8.0,218.5,1.42,0.8,15.742204819277108,16.263469879518073,6.132530120481928,1.962409638554217,0.7849638554216867,0.0245301204819277,normal player
b2080179-be20-5d44-9f69-4be763a0396d,PapiSlick,7224,22.5,72.0,5.5,151.1,1.08,20.3,47.1,70.3,9.0,229.5,1.38,0.8,15.447991416309012,16.656824034334765,4.614991416309013,3.1211330472103005,0.7802832618025751,0.0121287553648068,suspicious
4b4c22e1-9d3d-5fe9-bcdb-a4ead15ccbae,huh,1271,32.0,63.5,4.5,168.0,1.29,30.9,59.4,74.7,32.0,244.6,1.64,0.9,14.209105263157896,18.39836842105263,4.892684210526316,1.7507368421052631,0.8128421052631579,0.0625263157894736,most likely smurf
